"id","unique_name","latitude","longitude"
72,"Bad Saulgau (Festplatz)",48.020413,9.504685
73,"Bad Segeberg central bus station",53.934446,10.309166
74,"Bad Urach (bus station)",48.491022,9.397885
75,"Bad Zwesten (Brunnenstraße)",51.051932,9.175395
76,"Balingen (central bus station)",48.279977,8.850821
77,"Bamberg train station (Ludwigstraße)",49.899153,10.899918
78,"Bansin (Usedom)",53.963654,14.133878
79,"Bapaume (Parking of Mc Donald's)",50.105376,2.868175
80,"Barletta Scalo",41.308405,16.289453
81,"Baška",44.971836,14.755879
82,"Bastogne (Gare Sud)",49.999779,5.709641
83,"Bautzen (Schliebenstraße)",51.181686,14.415282
84,"Bayreuth central train station",49.951106,11.577908
85,"Bayreuth University (Mensa)",49.93035,11.586885
86,"Belfort",47.628642,6.856852
87,"Bellinzona (Via Henri Guisan)",46.195321,9.024233
88,"Benkovac bus station",44.031637,15.614122
89,"Bensersiel port",53.6779627,7.575006
90,"Bergamo central bus station",45.692019,9.675369
91,"Bergamo (Orio al Serio aeroporto)",45.665693,9.69807
92,"Bergen auf Rügen",54.41165,13.43144
93,"Bergen (Celle)",52.812018,9.95944
94,"Bergen op Zoom",51.490337,4.293472
95,"Bernburg (Saale)",51.79617,11.75048
96,"Bestwig train station",51.361478,8.399066
97,"Beverstedt",53.434962,8.818979
98,"Bibinje",44.067657,15.292669
99,"Bielefeld Brackwede train station",51.997974,8.499713
100,"Binz (Rügen)",54.405138,13.600996
101,"Biograd na Moru bus station",43.937832,15.443678
102,"Biograd na Moru (Motel)",43.945137,15.453843
103,"Bischofsgrün (Birnstengel)",50.056723,11.806513
104,"Blanes (Train station)",41.67361,2.76935
105,"Blankenburg central train station",51.795558,10.960514
106,"Bled bus station (Triglav National Park)",46.371189,14.106885
107,"Bocholt bus station",51.83407,6.620218
108,"Bochum central station (Wittener Straße)",51.47931,7.22485
109,"Bohumín train station",49.9015494,18.3594736
110,"Bologna Casalecchio",44.482294,11.273804
111,"Borca di Cadore (ss51)",46.43578,12.223588
112,"Borken train station",51.848884,6.864344
113,"Born a. Darss (Mitte)",54.387507,12.532119
114,"Bosiljevo",45.410931,15.289252
115,"Bottrop central train station",51.510187,6.936545
116,"Boulogne-sur-Mer",50.722921,1.59883
117,"Bourg-de-Péage (Carpooling Area)",45.019598,5.040188
118,"Brașov (Busbahnhof Bartolomeu)",45.659787,25.570016
119,"Bratislava Airport",48.170167,17.199278
120,"Braunau",48.257216,13.039016
121,"Breda Prinsenbeek",51.604088,4.723247
122,"Bregenz bus station",47.501994,9.739115
123,"Bremerhaven",53.536707,8.599862
124,"Bremervörde train station",53.483059,9.141474
125,"Brescia SAIA bus station",45.533056,10.214444
126,"Bressuire",46.849185,-0.475066
127,"Brilon bus station (Bahnhofstraße)",51.398429,8.574988
128,"Brittany Ferries",49.283652,-0.249723
129,"Brixen/Vahrn (Bressanone/Varna)",46.764069,11.642823
130,"Bršadin",45.362963,18.917465
131,"Bruck an der Mur (Bahnhof)",47.413444,15.278489
132,"Bruges (Station Brugge)",51.195846,3.215955
133,"Brunswick",52.251194,10.536665
134,"Budweis",48.972887,14.487246
135,"Bukarest (Busbahnhof Rahova)",44.398151,26.043201
136,"Bünde (Museum)",52.195309,8.582143
137,"Čakovec bus station",46.391354,16.434993
138,"Carparkplatz Sihlquai",47.3804359436035,8.53768348693848
139,"Car-Terminal Bern-Neufeld",46.9637641906738,7.43353843688965
140,"Cecina",43.313527,10.527882
141,"Celle central bus station",52.620029,10.063048
142,"Centre Aquatique",47.324084,-2.41623
143,"Centre Commercial Ouest",45.145845,1.482684
144,"Centre Hospitalier d'Angoulême",45.635457,0.124071
145,"centrum",49.6711807250977,18.6804523468018
146,"Černý Most",50.1088981628418,14.5774354934692
147,"Cesena (Piazzale dell'Accoglienza)",44.167916,12.280738
148,"Cesena (Piazzale Karl Marx)",44.144858,12.248472
149,"Chambre de Commerce",47.06382,2.36815
150,"Chamonix centre",45.922773,6.867269
151,"Champagne-Ardenne TGV",49.214754,3.994568
152,"Charolles-Est",46.440304,4.301564
153,"Châteauroux (central bus station)",46.809625,1.69861
154,"Châtellerault",46.833426,0.534398
155,"Chatellerault Nord Campanile Hotel",46.839013,0.545475
156,"Cholet (Central Bus Station )",47.066761,-0.872033
157,"CHU Brabois",48.650012,6.145242
158,"Chur station (Postautostation)",46.852702,9.527286
159,"Cityterminalen",59.33226,18.054582
160,"Civitanova Marche (Via Carducci)",43.301864,13.723552
161,"Colmar",48.073754,7.347802
162,"Combloux - Office du tourisme",45.894811,6645
163,"Cortina d'Ampezzo (Autostazione)",46.53906,12.137848
164,"Cottbus bus station",51.753765,14.331426
165,"Courmayeur (Piazzale Monte Bianco)",45.793203,6.971314
166,"Créavallée Nord",45.14312,0.698516
167,"Crikvenica (Busbahnhof)",45.172523,14.692295
168,"Częstochowa (bus station)",50.804987,19.118987
169,"Dahme (Strand hotel)",54.219894,11.088233
170,"Dannebrogsgade",55.403362,10.387038
171,"Dannenwalde (Kirche)",53.079999,13.185906
172,"Deggendorf bus station",48.838567,12.949842
173,"Delft Station (P+R Nijverheidsplein)",52.002671,4.357323
174,"Delmenhorst (Riedeweg)",53.03158,8.65375
175,"Den Bosch CS (Leonardo da Vinciplein / Magistratenlaan)",51.691273,5.292867
176,"Den Haag Centraal",52.080136,4.325237
177,"De Panne (Station)",51.077399,2.600981
178,"Dessau (bus station)",51.840199,12.236427
179,"Dětmarovice (nádraží)",49.900194,18.46608
180,"Deva (Busbahnhof)",45.883398,22.910147
181,"Deventer (Carpoolplaats A1)",52.235382,6.18187
182,"Dieppe (Central bus station)",49.921523,1.080578
183,"Dierhagen",54.290613,12.335222
184,"Digoin",46.484878,3.987987
185,"Dillenburg central bus station",50.733995,8.29429
186,"Dinard",48.630652,-2.064259
187,"Divadlo Alfa",49.7484169006348,13.4040365219116
188,"Döbeleplatz",47.658263,9.169107
189,"Dole (Parking next to the tollgate/péage)",47.064098,5.447277
190,"Domancy - La Pallud",45.904446,6.683823
191,"Dom Služieb",49.1166534423828,18.4453315734863
192,"Donji Miholjac bus station",45.759244,18.166099
193,"Dordrecht",51.80739,4.671228
194,"Dornbirn bus station",47.417015,9.738445
195,"Dornumersiel (Oll Deep bus station)",53.672651,7.472672
196,"Dorsten central bus station",51.658441,6.969044
197,"Drachten (Vallaat)",53.106497,6.126321
198,"Dresden Neustadt station (Hansastraße)",51.066377,13.739384
199,"Dubrovnik bus station",42.662809,18.083547
200,"Dugopolje",43.594875,16.572628
201,"Dülmen station",51.82877,7.293715
202,"Đurđevac bus station",46.030741,17.065348
203,"Eccellenze Campane",40.8488311767578,14.2829780578613
204,"Einsteinova",48.1322288513184,17.0988655090332
205,"Eisenach (Uferstraße)",50.978598,10.326067
206,"Elbeuf - Eglise Saint Jean",49.292069,1.003372
207,"Elmshorn (central bus station)",53.756204,9.658221
208,"Emden Außenhafen",53.344164,7.186713
209,"Emmerich train station",51.834025,6.254747
210,"Emsdetten (bus station)",52.176794,7.530695
211,"EmsPark Leer",53.259224,7.457246
212,"Engen (Grub/McDonald's)",47.856125,8.791945
213,"Enschede (central station)",52.221628,6.889476
214,"Enschede Kennispark / UT",52.238065,6.850244
215,"Erfurt central train station",50.973748,11.040066
216,"Esens (Bensersieler Straße)",53.65005,7.612721
217,"Esens (ZOB Herdetor)",53.646542,7.608696
218,"Estación del Norte",41.394968,2.183275
219,"Eugen-Bolz-Platz",48.479256,8.935371
220,"EuroAirport Basel Mulhouse Freiburg",47.600729,7.531714
221,"Europaboulevard",52.327501,4.890296
222,"Eurostop Statoil",56.6570129394531,12.908522605896
223,"Euskirchen bus station",50.658582,6.793834
224,"Făgăraș (Strada Mihai Viteazul)",45.844506,24.975853
225,"Fanti D'italia",44.416356,8.919053
226,"Ferrara (Piazzale train station)",44.842838,11.604776
227,"Ferrara (Uscita A13 Ferrara Nord)",44.866492,11.573698
228,"Fischen train station (Bahnhofstraße)",47.456691,10.270763
229,"Foggia (Ferroviaria train station)",41.465478,15.55447
230,"Foligno (Viale Mezzetti)",42.95325,12.708145
231,"Follonica",42.926257,10.755432
232,"Forlì (Autostazione)",44.223316,12.055246
233,"Frankenberg (Eder) train station",51.054012,8.789681
234,"Frankfurt Airport T1 - Busparkplatz P36",50.0527687072754,8.57747936248779
235,"Frankfurt Airport  T2",50.052538,8.588125
236,"Freiburg (im Breisgau) central station",47.995688,7.840469
237,"Fribourg (BCF Arena)",46.8176,7.157265
238,"Friedrichshafen central station",47.652758,9.473237
239,"Frosinone (Piazza Pertini)",41.629206,13.327383
240,"Fügnerova-Blažkova",50.7647972106934,15.0569610595703
241,"Fulda (Weimarer Straße)",50.555891,9.666109
242,"Funtana bus stop (tourist office)",45.17441,13.606126
243,"Fürstenberg (Havel)",53.185293,13.145401
244,"Füssen",47.568053,10.680501
245,"Futuroscope",46.664055,0.362181
246,"Gardaland",45.452609,10.714955
247,"Garding (Süderstraße)",54.327901,8.77971
248,"Gare Bruxelles-Midi",50.834999,4.33264
249,"Gare centrale de Bonn",50.712871,7.12027
250,"Gare centrale de Breda",51.596492767334,4.77830219268799
251,"Gare centrale de Coblenz",50.349442,7.589689
252,"Gare centrale de Dresden",51.0392456054688,13.732307434082
253,"Gare centrale de Duisburg",51.42876,6.777217
254,"Gare centrale de Göteborg",57.7085762023926,11.9711046218872
255,"Gare centrale de Innsbruck",47.261733,11.399098
256,"Gare centrale de Leipzig",51.34257,12.381275
257,"Gare centrale de Munich",48.14232,11.54988
258,"Gare centrale de Nürnberg",49.4467277526855,11.082013130188
259,"Gare centrale de Oberhausen",51.473819,6.851949
260,"Gare centrale de Olomouc",49.5924911499023,17.2783184051514
261,"Gare centrale d'Essen",51.450245,7.014807
262,"Gare centrale de Worms",49.636257,8.357406
263,"Gare centrale de Zweifalltorweg",49.87082,8.628651
264,"Gare centrale d'Ostrava",49.8521499633789,18.268461227417
265,"Gare centrale d'Ostrava (LEO)",49.852217,18.269236
266,"Gare Cologne-Arcaden",50.939304,6.995751
267,"Gare d'Aachen West",50.782292,6.071503
268,"Gare d'Aime-La Plagne",45.55448,6.64747
269,"Gare d'Amsterdam Centraal",52.3772953,4.8977993
270,"Gare d'Avellino",40.923186,14.819069
271,"Gare d'Avignon TGV",43.922647,4.785672
272,"Gare de Amersfoort",52.153122,5.371724
273,"Gare de Amsterdam Sloterdijk",52.389289,4.836263
274,"Gare de Banská Bystrica",48.7351722717285,19.1632823944092
275,"Gare de Banská Bystrica mesto",48.7314071655273,19.1465358734131
276,"Gare de Bantorf",52.332912,9.415509
277,"Gare de Bari Centrale",41.116996,16.86995
278,"Gare de Bassel",47.546199798584,7.58786249160767
279,"Gare de Bercy",48.838424,2.382411
280,"Gare de Berlin Südkreuz",52.4762001037598,13.3641633987427
281,"Gare de Böbligen",48.686526,9.00315
282,"Gare de Bratislava",48.158332824707,17.1059150695801
283,"Gare de Bruxelles-Nord",50.8607597351074,4.35957479476929
284,"Gare de bus Chomutov",50.4600677490234,13.408842086792
285,"Gare de bus Jirkov",50.4984245300293,13.4503345489502
286,"Gare de bus Louny",50.3548355102539,13.8045139312744
287,"Gare de bus Most",50.501106262207,13.6387205123901
288,"Gare de bus Rudolická MUS a.s.",50.508358001709,13.6588344573975
289,"Gare de Bystřice",49.6365432739258,18.7174491882324
290,"Gare de Čadca",49.4442176818848,18.786792755127
291,"Gare de Caserta",41.068959,14.326765
292,"Gare de Česká Třebová",49.8975372314453,16.4472103118896
293,"Gare de Český Těšín",49.7435493469238,18.6231136322021
294,"Gare de Dortmund",51.519293,7.460236
295,"Gare de Düren",50.808759,6.483956
296,"Gare de Düsseldorf",51.222719,6.795365
297,"Gare de Erlangen",49.5965,11.000056
298,"Gare de Flensburg",54.775005,9.436955
299,"Gare de Forchheim",49.716701,11.069042
300,"Gare de Frankfurt (Main)",50.106827,8.664428
301,"Gare de Fürth",49.470301,10.991233
302,"Gare de Girona",41.97901,2.817476
303,"Gare de Halle (Saale)",51.477507,11.984581
304,"Gare de Haluchère-Batignolles",47.248785,-1.520898
305,"Gare de Havířov",49.791088104248,18.4125499725342
306,"Gare de Heidelberg",49.403755,8.676578
307,"Gare de Heidenheim",48.681041,10.154805
308,"Gare de Heilbronn",49.141994,9.206132
309,"Gare de Homburg Saar",49.327597,7.33821
310,"Gare de Horná Štubňa obec",48.830940246582,18.8778266906738
311,"Gare de Hranice na M.",49.5657806396484,17.7422771453857
312,"Gare de Hulín",49.3165550231934,17.4773082733154
313,"Gare de Kaiserslautern",49.436611,7.767553
314,"Gare de Karviná ",49.855566,18.527045
315,"Gare de Kehl",48.576541,7.8081689
316,"Gare de Kolín",50.025142,15.213477
317,"Gare de Košice",48.7223625183105,21.2678852081299
318,"Gare de Kroměříž",49.3017044067383,17.4022369384766
319,"Gare de Kysak",48.8529739379883,21.2243251800537
320,"Gare de Landau",49.196678,8.125726
321,"Gare de Leer",53.230905,7.464173
322,"Gare de Liège-Guillemins",50.62405,5.568636
323,"Gare de Limburg Süd",50.381763,8.095244
324,"Gare de Linz",48.290414,14.291504
325,"Gare de Linz (Wissensturm)",48.2905807495117,14.2879343032837
326,"Gare de Liptovský Mikuláš",49.091983795166,19.6052360534668
327,"Gare de Łódź Kaliska",51.7577667236328,19.4322719573975
328,"Gare de Ludwigshafen",49.4776962,8.4360945
329,"Gare de Lüneburg",53.247988,10.418936
330,"Gare de Luxembourg",49.599154,6.133281
331,"Gare de Lviv",49.8387788,23.9957189
332,"Gare de Margecany",48.8946990966797,21.0123996734619
333,"Gare de Marsberg",51.462507,8.855189
334,"Gare de Marseille Saint-Charles",43.304179,5.379868
335,"Gare de Martin",49.0649261474609,18.9158477783203
336,"Gare d'Emden",53.369203,7.196731
337,"Gare de Melfi",40.989953,15.647442
338,"Gare de Mladá Boleslav město",50.4199328909778,14.917754994751
339,"Gare de Münster",51.956179,7.637284
340,"Gare de Náchod",50.4175224304199,16.1709938049316
341,"Gare de Návsí",49.5901489257812,18.7548332214355
342,"Gare de Neckarsulm",49.188746,9.218712
343,"Gare de Neustadt-Böbig",49.3555,8.158944
344,"Gare de Neustrelitz",53.359654,13.073125
345,"Gare de Nová Baňa",48.4129066467285,18.6467819213867
346,"Gare de Orlamünde",50.775939,11.544015
347,"Gare de Otrokovice",49.2024574279785,17.5317211151123
348,"Gare de Passau",48.574352,13.452241
349,"Gare de Peine",52.318714,10.232146
350,"Gare de Pessac Centre",44.804365,-0.632593
351,"Gare de Pirmasens",49.205329,7.598912
352,"Gare de Polignano a Mare",40.991186,17.217068
353,"Gare de Poprad-Tatry",49.0596733093262,20.2955112457275
354,"Gare de Potenza Centrale",40.629093,15.807061
355,"Gare de Potsdam",52.390524,13.067735
356,"Gare de Považská Bystrica",49.1224479675293,18.4318027496338
357,"Gare de Přerov",49.4471054077148,17.4456806182861
358,"Gare de Quartier Belvedere",48.188221,16.381495
359,"Gare de Regensburg",49.012506,12.097529
360,"Gare de Rothenburg",49.37709,10.19093
361,"Gare de Ružomberok",49.0832748413086,19.3090629577637
362,"Gare de Schüttorf",52.317085,7.22034
363,"Gare de Schwabach",49.325723,11.034329
364,"Gare de Sliač kúpele",48.6143760681152,19.1497287750244
365,"Gare de Spišská Nová Ves",48.9501800537109,20.5610065460205
366,"Gare de Springe",52.214838,9.5569
367,"Gare de Staré Město",49.0764427185059,17.4235172271729
368,"Gare de Strasbourg",48.583742,7.734008
369,"Gare de Štrba",49.0832290649414,20.0667018890381
370,"Gare de Studénka",49.707544,18.069077
371,"Gare de Stuttgart-Vaihingen",48.7268267,9.1116303
372,"Gare de Suchdol nad Odrou",49.642643,17.939148
373,"Gare de Trenčín",48.8964500427246,18.0516967773438
374,"Gare de Trier",49.758162,6.653117
375,"Gare de Trier (Kürenzer Straße)",49.758208,6.653136
376,"Gare de Třinec-Konská",49.701964,18.641458
377,"Gare de Trnava",48.3703689575195,17.5846214294434
378,"Gare de Turčianske Teplice",48.8627967834473,18.8539791107178
379,"Gare de Ujgorod",48.609326,22.2978927
380,"Gare de Varsovie-Central",52.2295227050781,21.001220703125
381,"Gare de Venise-Mestre",45.482223,12.233842
382,"Gare de Vrútky",49.1147155761719,18.9244899749756
383,"Gare de Weiden(Oberpf)",49.67027,12.155186
384,"Gare de Zábřeh na Moravě",49.8724021911621,16.8871879577637
385,"Gare de Žilina",49.226676940918,18.7459583282471
386,"Gare de Zlín-Louky",49.216394,17.625536
387,"Gare de Zlín-Malenovice",49.209612,17.595418
388,"Gare de Zvolen mesto",48.5771980285645,19.1320667266846
389,"Gare de Zvolen osobná stanica",48.5701560974121,19.1200065612793
390,"Gare de Zweibrücken",49.247358,7.357167
391,"Gare d'Ingolstadt",48.744814,11.436179
392,"Gare d'Ostrava Střed",49.8290596008301,18.2823524475098
393,"Gare d'Ostrava-Svinov",49.8211517333984,18.2094955444336
394,"Gare d'Uelzen",52.969301,10.554661
395,"Gare d'Utrecht-Central",52.089901,5.106319
396,"Gare Lille-Europe",50.638756,3.076675
397,"Gare principale de Frankfurt",50.104434967041,8.66306114196777
398,"Gare principale de Prague",50.0829200744629,14.4356060028076
399,"Gare routière Aéroport Nice Terminal 1",43.665136,7.210942
400,"Gare routière Aéroport Nice Terminal 2",43.660214,7.204862
401,"Gare routière Bourg-Saint-Maurice",45.61957,6.77172
402,"Gare routière centrale de Brno - Zvonařka",49.1858341270521,16.6166093945503
403,"Gare routière centrale de Wiesbaden",50.070865,8.246166
404,"Gare routière d'Aachen",50.785661,6.136859
405,"Gare routière d'Aarhus",56.151872,10.208975
406,"Gare routière d'Amiens",49.89202,2.3091
407,"Gare routière d'Andrzeja ",50.256166,19.016088
408,"Gare routière d'Angers",47.464855,-0.559369
409,"Gare routière d'Annecy",45.901671,6.121292
410,"Gare routière d'Ansbach",49.298858,10.577283
411,"Gare routière d'Arnhem Centraal",51.985608,5.899662
412,"Gare routière d'Avignon",43.942226,4.807341
413,"Gare routière de Antwerpen Plantinkaai",51.218055,4.39431
414,"Gare routière de Banská Bystrica",48.731330871582,19.160177230835
415,"Gare routière de Bardejov",49.2975578308105,21.2821140289307
416,"Gare routière de Berlin",52.507613,13.279764
417,"Gare routière de Bologne",44.5039939880371,11.3471708297729
418,"Gare routière de Bourges",47.082474,2.386704
419,"Gare routière de Bourg-Saint-Maurice",45.619772,6.771559
420,"Gare routière de Bratislava",48.147011,17.12855
421,"Gare routière de Bremen",53.082144,8.810603
422,"Gare routière de Brest",48.38749,-4.48214
423,"Gare routière de Budapest-Népliget",47.474306,19.0985
424,"Gare routière de Bussy-Saint-Georges",48.836525,2.708902
425,"Gare routière de Čadca",49.444414,18.786765
426,"Gare routière de Caen",49.176438,-0.347647
427,"Gare routière de České Budějovice",48.9724578857422,14.4874801635742
428,"Gare routière de Český Krumlov",48.8116188049316,14.3225240707397
429,"Gare routière de Chambéry",45.569767,5.918141
430,"Gare routière de Chamonix Sud",45.917305,6.8669
431,"Gare routière de Cheb",50.0746116638184,12.379693031311
432,"Gare routière de Chemnitz",50.840937,12.926689
433,"Gare routière de Clermont-Ferrand",45.77078,3.0823
434,"Gare routière de Coburg",50.261262,10.958401
435,"Gare routière de Cracovie",50.0678825378418,19.949535369873
436,"Gare routière de Dax",43.720267,-1.04965
437,"Gare routière de Deauville",49.359119,0.084067
438,"Gare routière de Donostia",43.317134,-1.977381
439,"Gare routière de Dvůr Králové n.L.",50.4288215637207,15.8172988891602
440,"Gare routière de Flensburg",54.785869,9.437538
441,"Gare routière de Freiburg im Breisgau",47.995991,7.840748
442,"Gare routière de Freiburg (Pressehaus)",47.986356,7.829212
443,"Gare routière de Fréjus",43.43557,6.73739
444,"Gare routière de Frýdek-Místek",49.6784210205078,18.3512191772461
445,"Gare routière de Genève",46.208384,6.146746
446,"Gare routière de Gießen",50.580932,8.666598
447,"Gare routière de Gießen (Licher Straße)",50.576429,8.708671
448,"Gare routière de Györ",47.6810684204102,17.6364192962646
449,"Gare routière de Hamburg",53.551559,10.011042
450,"Gare routière de Hameln",52.101429,9.373824
451,"Gare routière de Hannover",52.378816,9.740866
452,"Gare routière de Helsingborg",56.042610168457,12.6949167251587
453,"Gare routière de Hradec Králové HD",50.2169342041016,15.8129949569702
454,"Gare routière de Humpolec",49.5383567810059,15.3485193252563
455,"Gare routière d'Eindhoven",51.4417457580566,5.48035907745361
456,"Gare routière de Jihlava",49.399585723877,15.5801553726196
457,"Gare routière de Jindřichův Hradec",49.1540374755859,15.0048742294312
458,"Gare routière de Karlsruhe",48.991465,8.400066
459,"Gare routière de Katowice",50.2626266479492,19.0172481536865
460,"Gare routière de Kežmarok",49.1380348205566,20.4229507446289
461,"Gare routière de Köbenhavn",55.6681938171387,12.5642719268799
462,"Gare routière de Kolding",55.492308,9.483467
463,"Gare routière de Köln",50.8813285827637,7.11727380752563
464,"Gare routière de Köln Deutz",50.938367,6.988212
465,"Gare routière de Košice",48.7207527160645,21.2678470611572
466,"Gare routière de Krusa",54.841217,9.402721
467,"Gare routière de La Baule",47.288196,-2.389843
468,"Gare routière de Lens",50.427724,2.826756
469,"Gare routière de Liberec",50.7637546263648,15.047289874205
470,"Gare routière de Limoges",45.836153,1.268487
471,"Gare routière de Lingen",52.51926,7.320695
472,"Gare routière de Liptovský Mikuláš",49.091251373291,19.6072273254395
473,"Gare routière de Lučenec",48.3342018127441,19.6685199737549
474,"Gare routière de Maastricht",50.851498,5.704227
475,"Gare routière de Magdeburg",52.131407,11.624511
476,"Gare routière de Malmö",55.607909,13.000309
477,"Gare routière de Mannheim",49.478305,8.472181
478,"Gare routière de Marburg",50.8171,8.774759
479,"Gare routière de Martin",49.0641021728516,18.9157848358154
480,"Gare routière de Menton",43.777216,7.494158
481,"Gare routière de Metz",49.110633,6.183319
482,"Gare routière de Milano",45.489441,9.127631
483,"Gare routière de Mlynské Nivy",48.1468811035156,17.1282978057861
484,"Gare routière de Montélimar",44.560003,4.745104
485,"Gare routière de Moravské Budějovice",49.0565071105957,15.8085165023804
486,"Gare routière de Moûtiers",45.4868,6.5294
487,"Gare routière de Mulhouse",47.742012,7.341712
488,"Gare routière de Niebüll",54.790195,8.834263
489,"Gare routière de Niort",46.307555,-0.485627
490,"Gare routière de Nitra",48.3036270141602,18.0807018280029
491,"Gare routière de Nový Jičín",49.5970001220703,18.0100364685059
492,"Gare routière de Nuremberg",49.447659,11.085513
493,"Gare routière de Padova",45.4155654907227,11.8834085464478
494,"Gare routière de Pardubice",50.0320587158203,15.7572269439697
495,"Gare routière de Pelhřimov",49.4252281188965,15.223388671875
496,"Gare routière de Perpignan",42.695241,2.878706
497,"Gare routière de Písek",49.2994995117188,14.1461200714111
498,"Gare routière de Plzeň",49.746475,13.362774
499,"Gare routière de Podolínec",49.2592315673828,20.5366764068604
500,"Gare routière de Poitiers",46.582953,0.334555
501,"Gare routière de Popad",49.0593719482422,20.2930355072021
502,"Gare routière de Prerow",54.442541,12.577683
503,"Gare routière de Prešov",48.9843444824219,21.2509918212891
504,"Gare routière de Pressehaus",47.9857177734375,7.82918119430542
505,"Gare routière de Quimper",47.994466,-4.093558
506,"Gare routière de Rennes",48.103855,-1.671236
507,"Gare routière de Reutlingen",48.496281,9.211053
508,"Gare routière de Rimavská Sobota",48.3835525512695,20.0290851593018
509,"Gare routière de Rotterdam Centraal",51.923531,4.466534
510,"Gare routière de Royan",45.626235,-1.016416
511,"Gare routière de Rožňava",48.6598091125488,20.5350780487061
512,"Gare routière de Ružomberok",49.0836143493652,19.3077793121338
513,"Gare routière de Saarbrücken",49.241822,7.000021
514,"Gare routière de Saint-Brieuc",48.510628,-2.758477
515,"Gare routière de Saint-Étienne",45.4425,4.402861
516,"Gare routière de  Saint-Jean-de-Luz",43.38596,-1.66122
517,"Gare routière de Saint-Jean-de-Luz",43.386359,-1.660108
518,"Gare routière de Saint-Malo",48.650608,-2.021605
519,"Gare routière de Schwabach",49.32723,12.102584
520,"Gare routière de Sereď",48.2860870361328,17.7405796051025
